start
[0.084, 99.104, 0.219, 0.084, 0.201, 0.224, 0.084]
[0.081, 99.102, 0.322, 0.083, 0.213, 0.13, 0.068]
[0.081, 99.102, 0.322, 0.083, 0.213, 0.13, 0.068]
[0.081, 99.102, 0.322, 0.083, 0.213, 0.13, 0.068]
[0.081, 99.102, 0.322, 0.083, 0.213, 0.13, 0.068]
[0.044, 99.351, 0.117, 0.054, 0.108, 0.283, 0.044]
[0.034, 99.295, 0.317, 0.034, 0.056, 0.23, 0.034]
[0.034, 99.058, 0.592, 0.034, 0.037, 0.212, 0.034]
[0.034, 99.058, 0.592, 0.034, 0.037, 0.212, 0.034]
[0.076, 98.322, 0.588, 0.076, 0.345, 0.517, 0.076]
[0.11, 98.675, 0.356, 0.077, 0.286, 0.421, 0.077]
[0.196, 96.912, 1.679, 0.065, 0.171, 0.912, 0.065]
[0.383, 96.26, 1.628, 0.152, 0.356, 1.07, 0.152]
[0.296, 96.492, 1.115, 0.079, 0.149, 1.765, 0.105]
[0.234, 98.397, 0.693, 0.06, 0.296, 0.259, 0.06]
[0.234, 98.397, 0.693, 0.06, 0.296, 0.259, 0.06]
[0.412, 97.202, 1.339, 0.079, 0.388, 0.502, 0.079]
[0.666, 97.563, 0.705, 0.114, 0.362, 0.476, 0.114]
[0.666, 97.563, 0.705, 0.114, 0.362, 0.476, 0.114]
[0.666, 97.563, 0.705, 0.114, 0.362, 0.476, 0.114]
[0.666, 97.563, 0.705, 0.114, 0.362, 0.476, 0.114]
[0.058, 99.649, 0.058, 0.058, 0.058, 0.058, 0.058]
[65.835, 25.58, 3.318, 1.338, 1.906, 1.678, 0.346]
[65.835, 25.58, 3.318, 1.338, 1.906, 1.678, 0.346]
[89.131, 2.11, 4.877, 0.649, 2.544, 0.462, 0.227]
[84.767, 1.667, 3.886, 3.47, 4.748, 0.876, 0.586]
[78.648, 1.974, 9.719, 1.994, 5.923, 1.194, 0.548]
[78.648, 1.974, 9.719, 1.994, 5.923, 1.194, 0.548]
[78.648, 1.974, 9.719, 1.994, 5.923, 1.194, 0.548]
[82.467, 1.776, 10.571, 0.333, 2.382, 1.468, 1.004]
[70.059, 2.157, 13.005, 0.651, 5.124, 4.649, 4.356]
[70.059, 2.157, 13.005, 0.651, 5.124, 4.649, 4.356]
[50.122, 3.658, 15.858, 2.048, 21.703, 3.268, 3.343]
[72.307, 3.28, 4.214, 1.053, 4.984, 4.171, 9.992]
[51.178, 3.305, 34.181, 0.523, 5.013, 3.938, 1.862]
[51.178, 3.305, 34.181, 0.523, 5.013, 3.938, 1.862]
[51.178, 3.305, 34.181, 0.523, 5.013, 3.938, 1.862]
[36.948, 2.49, 30.544, 0.395, 12.625, 8.548, 8.451]
[36.948, 2.49, 30.544, 0.395, 12.625, 8.548, 8.451]
[62.814, 2.562, 24.31, 0.347, 3.339, 4.511, 2.118]
[62.814, 2.562, 24.31, 0.347, 3.339, 4.511, 2.118]
[70.077, 2.766, 7.165, 0.877, 3.877, 5.118, 10.12]
[70.786, 2.68, 10.697, 1.294, 6.145, 3.317, 5.08]
[70.786, 2.68, 10.697, 1.294, 6.145, 3.317, 5.08]
[70.786, 2.68, 10.697, 1.294, 6.145, 3.317, 5.08]
[46.555, 3.968, 26.932, 0.789, 15.494, 4.254, 2.008]
[45.434, 6.733, 20.715, 1.067, 19.876, 3.907, 2.268]
[45.434, 6.733, 20.715, 1.067, 19.876, 3.907, 2.268]
[45.434, 6.733, 20.715, 1.067, 19.876, 3.907, 2.268]
[32.232, 0.134, 63.6, 0.038, 1.078, 2.327, 0.591]
[16.248, 0.119, 82.339, 0.037, 0.311, 0.91, 0.037]
[50.113, 3.35, 34.513, 0.663, 3.56, 7.273, 0.529]
[52.782, 0.606, 43.369, 0.137, 1.046, 1.907, 0.154]
[28.827, 1.531, 36.367, 1.711, 6.682, 22.273, 2.608]
[43.958, 0.69, 44.945, 0.585, 3.318, 6.102, 0.402]
[43.958, 0.69, 44.945, 0.585, 3.318, 6.102, 0.402]
[10.73, 0.204, 82.075, 0.174, 2.49, 4.218, 0.109]
[11.415, 0.207, 82.463, 0.433, 0.745, 4.626, 0.112]
[11.415, 0.207, 82.463, 0.433, 0.745, 4.626, 0.112]
[11.415, 0.207, 82.463, 0.433, 0.745, 4.626, 0.112]
[11.415, 0.207, 82.463, 0.433, 0.745, 4.626, 0.112]
[18.568, 0.125, 71.636, 0.189, 2.26, 7.116, 0.106]
[39.904, 0.344, 36.002, 2.498, 10.521, 10.531, 0.199]
[26.15, 0.19, 59.135, 0.79, 5.77, 7.757, 0.208]
